ID	metagenomics_1	metagenomics_2	metagenomics_3	metagenomics_4	metagenomics_5	metagenomics_6	metagenomics_7	metagenomics_8	metagenomics_9	metagenomics_10
1	38.998001281281645	42.30510518668295	43.25588289102884	44.29919463531641	43.10367232198034	42.17215859457761	37.81111986077427	43.26258639516352	40.362154671931194	37.85812440009372
2	38.69354490714782	45.19195127483338	43.397523057071986	43.57271230381683	42.71178031692012	41.730220680265546	37.7813148646738	41.69014172035944	41.8732241628595	38.541351294068235
3	38.13930558709829	44.651727816012446	43.33165164411351	43.430730531464285	42.67732155134128	41.54271731499584	37.85923944161808	41.1479332785166	41.14485017936287	38.74060014970635
4	37.65287956527781	44.289589598225795	43.346014548007965	42.961808588394774	44.21754992668493	42.441722732732224	38.01076548886328	41.532127972730024	42.038945103544364	39.219139743847336
5	37.83054018164336	42.89352233616134	43.310686744814596	42.747382641681796	42.817986151983284	41.11721166933087	37.89630215119613	40.99073345048533	41.89396793532463	39.68570096212353
6	40.374165560656266	45.47780481003825	44.42331869504331	45.8339032034866	42.938941391115186	42.47699182844822	38.673807663899666	44.08087667853295	44.099699426581374	36.28005556930529
7	38.6356532023628	42.97244739997041	43.83122135224573	44.010330511690704	43.541684189323036	41.75304291041889	38.17818155075842	42.56298778800646	43.52282496092329	38.372530774721604
8	40.02924508927099	44.688106787254895	42.96211783692568	45.13892301516307	43.03548065597785	42.94516854263796	37.4413346886969	43.596478709481005	42.461535022599314	36.85791642536736
9	38.520759984956186	43.679587328186045	43.05811932322946	43.58561290446724	43.52792327029695	42.48128804489487	37.64600245722793	41.79119580087952	42.64435657741468	38.47443057227028
10	38.04781552330578	41.20873246577336	43.80976925589676	43.605577970066506	45.37110733061616	43.24009933159812	38.14346177262643	41.79608071215138	40.64780918915321	38.77558948073451
11	38.9997779376013	44.6654675255599	44.81506588637993	44.304702990919345	43.44414231718042	41.365036424409254	39.13611919912879	42.50695805547704	43.26155032368216	38.041843788906924
12	38.58364257410554	45.0041045137844	43.557841986338815	43.89949386674878	42.89725702625164	41.01595191140226	38.21775118742843	42.46533307103558	42.0403468108527	38.502173695150745
