ID	metagenomics_1	metagenomics_2	metagenomics_3	metagenomics_4	metagenomics_5	metagenomics_6	metagenomics_7	metagenomics_8	metagenomics_9	metagenomics_10	metagenomics_11	metagenomics_12	metagenomics_13	metagenomics_14	metagenomics_15	metagenomics_16	metagenomics_17	metagenomics_18	metagenomics_19	metagenomics_20	metagenomics_21	metagenomics_22	metagenomics_23	metagenomics_24	metagenomics_25	metagenomics_26	metagenomics_27	metagenomics_28	metagenomics_29	metagenomics_30	metagenomics_31	metagenomics_32	metagenomics_33	metagenomics_34	metagenomics_35	metagenomics_36	metagenomics_37	metagenomics_38	metagenomics_39	metagenomics_40	metagenomics_41	metagenomics_42	metagenomics_43	metagenomics_44	metagenomics_45	metagenomics_46	metagenomics_47	metagenomics_48	metagenomics_49	metagenomics_50
1	582.0447058801012	522.7081935211015	549.918774764735	528.7062322377167	532.4384699785494	501.1046624300181	536.3990920961314	510.62190903559963	513.9525654804833	499.0681365026024	537.3079468775172	501.34182272835574	516.5568621310639	458.70256102325055	481.75218403073916	443.3260529096276	463.09184693005375	443.4519508599672	420.01729710952833	388.1217064297154	406.4879954325719	408.5838742381007	400.17404653031696	434.71116798154566	402.8789501427335	419.8418750921221	386.6718055861534	345.8640984007957	354.6778233157888	373.25028491896114	297.8087024030701	368.54999860610434	357.61139835417924	389.0536672412584	413.3410220093739	410.99906001925564	401.9885952379127	408.3918186504279	421.2170539371615	453.89179960297497	428.0613421218438	415.7484916751298	406.1648492957152	401.0131865011579	404.7803227386922	461.2786035298759	458.3722704312633	462.3116348305145	497.32744789819395	470.26741137037584
2	565.7717172715645	574.8373101973384	549.4302706094268	536.567618037363	518.1823354933504	534.5225803273884	504.395888231246	512.6315475103098	513.2705552902155	533.6241788326137	508.3265335606516	491.78732912382975	525.4539980907674	551.4121292572459	479.7912811079622	497.50021684695093	476.4431795052807	443.0928254872068	420.95468819468005	390.06829801495456	393.4252013297136	402.64173921957973	412.90863435662357	416.2532034275321	428.16162872439065	399.3004045064351	419.58001924993283	341.9159750044298	391.87112448266794	372.4080368108187	416.851349161452	368.5471464067722	361.66788868216094	375.8781788643184	341.58650234337375	393.07326071100147	447.1755939454766	407.2158480144111	417.4200184485207	360.91683310025655	464.1972279525041	414.28864281981527	411.78402326771425	400.6467719683822	383.8558785758963	419.5012378289501	454.65696964487194	482.2852425904048	455.69342708720706	502.10570989413867
3	572.2168861884916	578.742856646494	549.5780892745372	520.773850334087	509.90311037156573	483.70084446308545	457.0844618926542	510.42904379805316	512.6096886577326	525.663413620015	519.6979759062058	514.0962049845065	530.5613979687898	557.3967533098679	499.54804416679417	532.0538787517306	443.1223516202576	442.1602033366999	419.840676863797	415.53201803912583	392.2480892029331	407.6116855711192	446.68844236124545	428.7589694294274	417.95618589046506	421.08439950365727	422.50346680813783	431.3888278585147	377.1738574852939	371.9751352360065	366.775328841931	370.6225422906296	374.5446690364814	352.82930798355414	347.1699555746772	366.7491810587979	381.2716423586087	408.5752280817168	422.7743368482184	463.4648645938244	399.61756191653706	413.78526289802363	394.2906522917177	400.96018926831493	408.4082091852764	414.8193531321412	450.37148061171143	477.3986936771319	466.1473828633334	506.8236710143125
4	558.017161895177	585.2776345851197	548.2278234927289	542.6811099080837	517.9244018134557	472.9915195451928	473.17411750661734	510.6583383786976	514.4039926062171	514.229500223714	505.17048776634226	511.28259201306497	464.07282812360063	499.8897355500947	508.49508642309354	464.22473711547457	406.72090347393817	442.03650662721094	421.4768569923256	452.6159194719951	396.1491609251008	409.03629992794976	439.22476516235383	439.66496729338843	432.41244725672783	418.01998931275006	431.67627014549254	401.77987623753125	365.7559227640193	371.65110088543435	387.44782574393133	368.4105798899886	363.29679541231343	406.90075715217716	399.42235389683856	377.86822228404196	359.71364795683536	408.08197302571097	421.8409809829925	389.5394618002427	345.77843766106434	414.150067984115	408.9297120470183	400.9058883169478	399.9412955487539	452.5982569271594	469.4756772701668	488.3706668010566	460.7054828412953	482.99997105993754
5	608.2617593034292	558.8179630988576	547.2372997357226	528.4664110552249	511.412504598646	517.9575893441493	456.60552618965477	510.1708944574222	513.8316362654457	569.3067102770481	500.3036029092649	507.5358505771548	492.9754693368938	472.47346071882646	470.4713047863261	492.8321013080901	474.5463693945838	442.27561289138737	421.5228328391213	429.52023668383464	406.5716955426307	410.91637584048107	371.7579565983325	442.20375168787695	422.1174072326419	442.2560859980611	378.18454582829384	389.7975478187051	381.20779709283033	370.8335699179568	322.69865282387923	369.8570246747042	367.6769515979938	369.64718155499145	366.8634937625905	399.0452911843091	410.8727697569779	409.28313709437754	419.39123017634233	440.21210241807546	359.09392649280727	415.86766191120955	404.33327091562046	402.1689897504047	421.330840174134	403.15388314618775	475.94056913309856	475.82868868949237	476.4032950135046	493.31599421774075
6	592.8577066372897	540.3899313153481	548.0893988110734	523.6861886012887	528.8145185258323	491.8969260130046	495.4228472806867	510.7938416785891	513.4941516786337	492.0017778959833	487.20112952231585	500.84450348557147	524.6013945605685	408.6511152889953	507.17523235435925	460.7782859218539	433.39755324586986	442.752413235138	422.705601515865	388.9596919522234	393.5131375040832	404.3343679487372	413.4471086720223	417.9514370753493	420.90230273997025	430.57599754194985	385.8421217211644	404.50557911355395	401.1811902877296	370.50925660168934	328.5041314953787	368.91958363205265	363.47923825346805	430.4960488386298	449.31252495952504	374.590271655856	339.08829638564765	408.8806488091847	421.3803335264941	437.93551762585935	440.95520873095313	415.51308487362894	421.95930059887434	400.8231272361177	413.1650963572392	456.0887645141715	440.3176967466088	475.17677652270345	505.65374568152333	452.4281202629685
7	590.5236839263924	554.1021315085401	546.564542106902	529.188233536972	511.0111633444337	528.8469600667488	486.53485039465727	509.762195297302	511.86186899744007	525.5727581648028	470.5615409269017	516.2946141281974	494.6386139879444	487.21221268576704	487.1618156460507	469.8181576086815	468.6363082647648	442.72313599550455	422.23473367366694	435.7181457434149	402.08729142843544	409.2273990296395	442.33902675405125	418.44017407729365	446.07498024837855	400.22610234360985	377.1272392482238	445.1432870854232	377.529868760055	374.140313844249	392.38265599650344	369.6846035406822	371.5427101371812	366.2110742956668	334.2336766359484	362.9204507920039	371.95222821394196	407.3113752261288	424.26733691946316	439.9185273205114	363.46158140465644	413.81361503362075	392.3948280545019	400.9891613642304	386.4321049134791	468.27018516876973	449.7569691213482	457.89930829231054	488.8898547344818	476.52123214283034
8	584.9382410295532	533.0687218893097	546.0971120740895	551.6089360533222	508.6298662836102	506.23442068230304	450.912538248831	510.01763489820274	511.3181985641796	511.59869899762344	501.69843769307136	513.8681115743553	512.3629897921259	583.4096746383507	493.7799386304966	521.9530183253423	494.06993004263654	443.7634020477238	418.47409518274475	418.90992325308605	396.9217678849319	403.13788187193853	414.72749194594377	433.03887013711994	442.0662747792325	423.19902177281966	409.0388692468821	400.9826262407724	410.7050805505099	371.0882076385213	330.2759484046174	368.686815313067	372.759167533961	359.39200101148873	355.8739862259753	376.5761917617889	438.24219307043325	408.5092932027201	416.3005110763586	382.7187187779312	469.70953423698023	415.00013056624243	425.57023247259474	401.7462465661776	405.8592310777735	400.712578414684	463.766139071221	460.1225469392421	495.2065817652432	468.73142270196803
9	550.0657439512318	549.6960931614431	548.8956865101239	537.7773512064248	494.99685727907973	481.4358891608039	467.4911346839121	510.142967016528	512.6869194804713	538.9335259071688	516.812928447714	504.993278882995	479.2550206561487	478.4625963574502	555.4381861403747	531.0678080201384	366.07536236488835	440.6293052483101	422.11916152274904	373.6261138107622	380.16857099242816	408.4177488215358	379.2794076478459	409.21079162154126	466.9206644325502	444.69739229788865	423.87213584680984	404.62960642809327	374.00147270092526	371.4156985130739	319.58280502471314	368.94966434871026	376.83656956892855	392.7680982340525	338.46925141463316	351.9616218780925	423.70749591292787	409.795986671499	427.36977030530227	473.086406696814	435.07306599447327	415.45212099216525	408.2242273432603	399.71047593218736	430.1202757847731	403.06570626656907	452.6421081581278	500.1177842150213	497.58009939259364	463.1225792921848
10	578.5320797912714	586.9995822024196	547.6495196394974	551.0084628622776	532.3454229550659	504.6861930538683	552.8732201422035	511.9458910106203	512.8534715213028	487.10218285213017	519.1008406322856	508.13569988165705	499.86575191768605	515.1513275360325	513.2764966171786	482.80834149793395	446.8852594692662	442.2341985323407	421.6012022894222	446.64555914557315	407.1792105254476	401.47197867114346	420.82026099808536	418.92263278916107	425.53578910781687	431.61725870163264	390.0145244418936	368.60616614160665	371.8781154298939	371.3024948411561	373.1842632185879	370.5408015845285	369.0915252895072	401.30260120754326	375.1165771107665	386.8143736480766	311.65385406542356	408.7198252453346	423.64691975986955	380.7271891974685	444.4017370205636	413.6182343157295	401.6232173874395	400.07712983038095	411.885073505433	416.5751137599213	462.25351589630077	449.03215078219836	483.0565084309598	473.65997986419853
