ID	gender
1	male
2	female
3	female
4	female
5	female
6	female
7	male
8	male
9	male
10	female
11	female
12	female
13	male
14	male
15	female
16	female
17	female
18	male
19	male
20	female
21	female
22	female
23	male
24	female
25	male
26	female
27	male
28	female
29	male
30	female
31	male
32	female
33	female
34	male
35	male
36	female
37	male
38	female
39	male
40	female
41	female
42	male
43	female
44	female
45	male
46	female
47	other
48	male
49	female
50	male
51	male
52	female
53	male
54	male
55	other
56	female
57	male
58	female
59	male
60	male
61	male
62	female
63	female
64	male
65	male
66	male
67	female
68	female
69	female
70	male
71	female
72	male
73	female
74	female
75	male
76	female
77	male
78	female
79	female
80	male
81	male
82	female
83	male
84	female
85	male
86	male
87	male
88	female
89	male
90	male
91	female
92	male
93	male
94	male
95	male
96	male
97	male
98	male
99	female
100	female
101	male
102	female
103	female
104	female
105	female
106	female
107	female
108	female
109	male
110	female
111	female
112	female
113	male
114	female
115	male
116	female
117	female
118	male
119	male
120	female
121	female
122	female
123	female
124	female
125	female
126	female
127	female
128	male
129	male
130	male
131	female
132	male
133	male
134	male
135	male
136	male
137	female
138	male
139	other
140	female
141	female
142	male
143	female
144	male
145	other
146	male
147	male
148	female
149	female
150	male
151	male
152	male
153	female
154	male
155	male
156	other
157	male
158	female
159	male
160	female
161	male
162	female
163	male
164	female
165	male
166	male
167	female
168	male
169	other
170	male
171	female
172	female
173	female
174	other
175	other
176	male
177	male
178	male
179	male
180	female
181	female
182	male
183	female
184	male
185	male
186	male
187	other
188	female
189	female
190	male
191	male
192	male
193	other
194	female
195	male
196	male
197	male
198	male
199	male
200	male
201	male
202	male
203	male
204	female
205	male
206	female
207	male
208	female
209	male
210	female
211	male
212	male
213	female
214	other
215	female
216	male
217	other
218	female
219	male
220	male
221	male
222	male
223	male
224	female
225	male
226	female
227	female
228	male
229	male
230	female
231	other
232	female
233	female
234	other
235	other
236	male
237	male
238	male
239	male
240	male
241	male
242	male
243	male
244	female
245	male
246	female
247	other
248	female
249	male
250	female
251	male
252	female
253	male
254	female
255	female
256	female
257	male
258	male
259	female
260	male
261	male
262	female
263	male
264	female
265	male
266	male
267	male
268	male
269	female
270	female
271	female
272	male
273	male
274	male
275	male
276	male
277	male
278	male
279	male
280	female
281	male
282	male
283	male
284	male
285	male
286	male
287	male
288	female
289	male
290	other
291	female
292	female
293	other
294	male
295	male
296	female
297	female
298	male
299	female
300	female
301	female
302	male
303	male
304	female
305	male
306	male
307	male
308	male
309	male
310	female
311	female
312	female
313	male
314	other
315	female
316	female
317	female
318	female
319	male
320	male
321	female
322	female
323	female
324	female
325	female
326	male
327	female
328	male
329	female
330	male
331	male
332	other
333	male
334	male
335	female
336	female
337	female
338	male
339	female
340	female
341	other
342	male
343	male
344	male
345	female
346	female
347	male
348	male
349	other
350	female
351	male
352	female
353	female
354	male
355	other
356	male
357	female
358	male
359	female
360	female
361	female
362	male
363	male
364	male
365	female
366	male
367	female
368	male
369	male
370	other
371	female
372	male
373	female
374	male
375	male
376	other
377	female
378	male
379	female
380	female
381	female
382	female
383	male
384	female
385	male
386	other
387	male
388	male
389	female
390	female
391	male
392	female
393	female
394	male
395	male
396	male
397	male
398	other
399	male
400	male
401	male
402	male
403	male
404	male
405	female
406	male
407	female
408	female
409	female
410	female
411	female
412	male
413	other
414	male
415	male
416	female
417	female
418	female
419	male
420	female
421	male
422	female
423	male
424	male
425	female
426	male
427	female
428	female
429	female
430	female
431	male
432	male
433	female
434	male
435	female
436	other
437	male
438	male
439	female
440	female
441	male
442	male
443	female
444	male
445	female
446	female
447	female
448	female
449	male
450	female
451	female
452	female
453	male
454	female
455	female
456	male
457	male
458	female
459	male
460	other
461	male
462	female
463	male
464	other
465	male
466	female
467	female
468	female
469	male
470	female
471	female
472	male
473	female
474	male
475	female
476	female
477	male
478	other
479	female
480	female
481	other
482	other
483	female
484	male
485	male
486	male
487	male
488	female
489	male
490	female
491	male
492	female
493	female
494	female
495	male
496	female
497	male
498	female
499	other
500	female
